t,amp
0.0,-1233.2323
0.0001953125,-1233.2703
0.000390625,-1233.4224
0.0005859375,-1233.3843
0.00078125,-1233.6124
0.0009765625,-1233.9164
0.001171875,-1233.6504
0.0013671875,-1233.2703
0.0015625,-1233.3083
0.0017578125,-1233.6884
0.001953125,-1233.6884
0.0021484375,-1233.4984
0.00234375,-1233.9924
0.0025390625,-1234.6385
0.002734375,-1234.6006
0.0029296875,-1234.3726
0.003125,-1234.6766
0.0033203125,-1234.8666
0.003515625,-1234.6006
0.0037109375,-1234.4485
0.00390625,-1234.4866
0.0041015625,-1234.4485
0.004296875,-1234.3726
0.0044921875,-1234.2585
0.0046875,-1234.1064
0.0048828125,-1233.9545
0.005078125,-1233.9924
0.0052734375,-1234.2585
0.00546875,-1234.1064
0.0056640625,-1233.9545
0.005859375,-1234.4105
0.0060546875,-1234.6385
0.00625,-1234.0305
0.0064453125,-1233.6884
0.006640625,-1234.0305
0.0068359375,-1234.0685
0.00703125,-1233.8024
0.0072265625,-1233.7644
0.007421875,-1234.1064
0.0076171875,-1233.9924
0.0078125,-1233.4224
0.0080078125,-1233.1943
0.008203125,-1233.0803
0.0083984375,-1232.7382
0.00859375,-1232.5101
0.0087890625,-1232.5862
0.008984375,-1232.6622
0.0091796875,-1232.6622
0.009375,-1232.7002
0.0095703125,-1232.5482
0.009765625,-1232.4722
0.0099609375,-1232.5862
0.01015625,-1232.7382
0.0103515625,-1232.5482
0.010546875,-1232.3961
0.0107421875,-1232.8903
0.0109375,-1233.2703
0.0111328125,-1233.2323
0.011328125,-1233.2703
0.0115234375,-1233.8405
0.01171875,-1233.7644
0.0119140625,-1233.4224
0.012109375,-1233.5364
0.0123046875,-1233.8784
0.0125,-1234.0305
0.0126953125,-1233.7264
0.012890625,-1233.7644
0.0130859375,-1233.9924
0.01328125,-1234.1064
0.0134765625,-1234.2965
0.013671875,-1234.4485
0.0138671875,-1234.4485
0.0140625,-1234.4866
0.0142578125,-1234.7526
0.014453125,-1234.6385
0.0146484375,-1234.4105
0.01484375,-1234.9426
0.0150390625,-1235.1707
0.015234375,-1234.4866
0.0154296875,-1234.2965
0.015625,-1234.5626
0.0158203125,-1234.5626
0.016015625,-1234.1445
0.0162109375,-1233.9545
0.01640625,-1234.1445
0.0166015625,-1233.8024
0.016796875,-1233.4603
0.0169921875,-1233.5743
0.0171875,-1233.6884
0.0173828125,-1233.7644
0.017578125,-1233.9924
0.0177734375,-1233.9545
0.01796875,-1233.5743
0.0181640625,-1233.6884
0.018359375,-1233.9164
0.0185546875,-1233.4984
0.01875,-1233.1943
0.0189453125,-1233.4224
0.019140625,-1233.4224
0.0193359375,-1233.0422
0.01953125,-1232.8522
0.0197265625,-1233.1943
0.019921875,-1233.2703
0.0201171875,-1233.0043
0.0203125,-1233.1943
0.0205078125,-1233.6884
0.020703125,-1233.8405
0.0208984375,-1233.8024
0.02109375,-1234.0685
0.0212890625,-1234.1445
0.021484375,-1234.0685
0.0216796875,-1234.0305
0.021875,-1233.8024
0.0220703125,-1233.4224
0.022265625,-1233.4603
0.0224609375,-1233.6124
0.02265625,-1233.3843
0.0228515625,-1233.1562
0.023046875,-1233.2323
0.0232421875,-1233.5743
0.0234375,-1233.2703
0.0236328125,-1232.9282
0.023828125,-1233.3843
0.0240234375,-1233.6884
0.02421875,-1233.3463
0.0244140625,-1233.2703
0.024609375,-1233.8405
0.0248046875,-1233.8024
0.025,-1233.4603
0.0251953125,-1233.3463
0.025390625,-1233.4224
0.0255859375,-1233.2703
0.02578125,-1233.1562
0.0259765625,-1233.3083
0.026171875,-1233.3843
0.0263671875,-1233.2703
0.0265625,-1233.2703
0.0267578125,-1233.2323
0.026953125,-1233.2703
0.0271484375,-1233.5364
0.02734375,-1233.7264
0.0275390625,-1233.6504
0.027734375,-1233.4984
0.0279296875,-1233.8405
0.028125,-1233.8784
0.0283203125,-1233.1943
0.028515625,-1232.8903
0.0287109375,-1233.0043
0.02890625,-1232.4722
0.0291015625,-1231.826
0.029296875,-1231.788
0.0294921875,-1231.788
0.0296875,-1231.5599
0.0298828125,-1231.1799
0.030078125,-1231.3319
